Continent,Code,Year,Population,AP,Gender,Subject
Europe,ALB,2009,2930553.0,405.6126,F,Science
Europe,ALB,2012,2892191.0,401.07968,F,Science
Europe,ALB,2015,2882482.0,439.44296,F,Science
Europe,ALB,2018,2877019.0,425.06088,F,Science
Europe,ALB,2022,2842318.0,390.75797,F,Science
South America,ARG,2006,39476856.0,397.28372,F,Science
South America,ARG,2009,40684344.0,404.43622,F,Science
South America,ARG,2012,41952364.0,408.88876,F,Science
South America,ARG,2015,43257064.0,424.99435,F,Science
South America,ARG,2018,44413592.0,399.23102,F,Science
South America,ARG,2022,45510324.0,403.22473,F,Science
Oceania,AUS,2006,20467032.0,526.8551,F,Science
Oceania,AUS,2009,21660898.0,527.72186,F,Science
Oceania,AUS,2012,22729272.0,519.12445,F,Science
Oceania,AUS,2015,23820240.0,508.92166,F,Science
Oceania,AUS,2018,24979228.0,502.16846,F,Science
Oceania,AUS,2022,26177410.0,505.72137,F,Science
Europe,AUT,2006,8267771.0,507.00162,F,Science
Europe,AUT,2009,8342939.0,490.46533,F,Science
Europe,AUT,2012,8429641.0,501.47852,F,Science
Europe,AUT,2015,8642422.0,485.52676,F,Science
Europe,AUT,2018,8840518.0,488.62888,F,Science
Europe,AUT,2022,8939617.0,485.47992,F,Science
Europe,BEL,2006,10582970.0,509.97104,F,Science
Europe,BEL,2009,10801357.0,503.2851,F,Science
Europe,BEL,2012,11031140.0,502.8999,F,Science
Europe,BEL,2015,11248306.0,496.03186,F,Science
Europe,BEL,2018,11448598.0,496.37048,F,Science
Europe,BEL,2022,11655923.0,490.52975,F,Science
South America,BRA,2006,188820688.0,386.1934,F,Science
South America,BRA,2009,194517552.0,403.84753,F,Science
South America,BRA,2012,199977712.0,401.39325,F,Science
South America,BRA,2015,205188208.0,398.7,F,Science
South America,BRA,2018,210166592.0,404.3891,F,Science
South America,BRA,2022,215313504.0,400.39685,F,Science
Asia,BGR,2006,7766040.0,442.89008,F,Science
Asia,BGR,2009,7634737.0,449.59933,F,Science
Asia,BGR,2012,7488347.0,456.93628,F,Science
Asia,BGR,2015,7309255.0,453.9011,F,Science
Asia,BGR,2018,7117424.0,432.16818,F,Science
Asia,BGR,2022,6781955.0,429.71655,F,Science
North America,CAN,2006,32531864.0,532.4228,F,Science
North America,CAN,2009,33593920.0,526.3676,F,Science
North America,CAN,2012,34691876.0,524.037,F,Science
North America,CAN,2015,35732120.0,527.1562,F,Science
North America,CAN,2018,37035260.0,519.5594,F,Science
North America,CAN,2022,38454328.0,514.80615,F,Science
South America,CHL,2006,16334573.0,426.48837,F,Science
South America,CHL,2009,16833450.0,442.87933,F,Science
South America,CHL,2012,17341770.0,441.64526,F,Science
South America,CHL,2015,17870122.0,439.6174,F,Science
South America,CHL,2018,18701452.0,441.81122,F,Science
South America,CHL,2022,19603736.0,436.3311,F,Science
South America,COL,2006,42772912.0,383.88678,F,Science
South America,COL,2009,44313916.0,391.6432,F,Science
South America,COL,2012,45782420.0,390.38464,F,Science
South America,COL,2015,47119728.0,411.0316,F,Science
South America,COL,2018,49276968.0,407.2854,F,Science
South America,COL,2022,51874028.0,408.11685,F,Science
Europe,HRV,2006,4417562.0,494.44617,F,Science
Europe,HRV,2009,4382142.0,491.0235,F,Science
Europe,HRV,2012,4331592.0,492.5202,F,Science
Europe,HRV,2015,4254821.0,472.58633,F,Science
Europe,HRV,2018,4160488.0,474.32352,F,Science
Europe,HRV,2022,4030361.0,488.24014,F,Science
Europe,CZE,2006,10304822.0,510.13312,F,Science
Europe,CZE,2009,10421515.0,503.07437,F,Science
Europe,CZE,2012,10511065.0,507.85495,F,Science
Europe,CZE,2015,10523801.0,488.3983,F,Science
Europe,CZE,2018,10534598.0,497.62415,F,Science
Europe,CZE,2022,10493990.0,498.65714,F,Science
Europe,DNK,2006,5457863.0,491.45242,F,Science
Europe,DNK,2009,5526455.0,493.6157,F,Science
Europe,DNK,2012,5600955.0,493.36304,F,Science
Europe,DNK,2015,5677795.0,498.9027,F,Science
Europe,DNK,2018,5766689.0,493.70883,F,Science
Europe,DNK,2022,5882259.0,490.21622,F,Science
Europe,EST,2006,1346711.0,533.2969,F,Science
Europe,EST,2009,1334557.0,528.2508,F,Science
Europe,EST,2012,1322682.0,542.6079,F,Science
Europe,EST,2015,1314658.0,532.52277,F,Science
Europe,EST,2018,1322146.0,532.59015,F,Science
Europe,EST,2022,1326064.0,527.67145,F,Science
Europe,FIN,2006,5266249.0,564.8624,F,Science
Europe,FIN,2009,5338813.0,561.8389,F,Science
Europe,FIN,2012,5413865.0,553.89343,F,Science
Europe,FIN,2015,5479457.0,540.51184,F,Science
Europe,FIN,2018,5515465.0,534.0426,F,Science
Europe,FIN,2022,5540745.0,521.9556,F,Science
Europe,FRA,2006,60919152.0,493.93674,F,Science
Europe,FRA,2009,62093300.0,496.59872,F,Science
Europe,FRA,2012,63071412.0,500.1571,F,Science
Europe,FRA,2015,63809768.0,494.0342,F,Science
Europe,FRA,2018,64277812.0,493.45996,F,Science
Europe,FRA,2022,64626624.0,487.91895,F,Science
Europe,DEU,2006,81177816.0,511.96484,F,Science
Europe,DEU,2009,81260624.0,517.5939,F,Science
Europe,DEU,2012,81545568.0,524.3909,F,Science
Europe,DEU,2015,82073232.0,503.81213,F,Science
Europe,DEU,2018,82896696.0,503.5658,F,Science
Europe,DEU,2022,83369840.0,492.22433,F,Science
Europe,GRC,2006,11106097.0,479.1118,F,Science
Europe,GRC,2009,11055503.0,474.88644,F,Science
Europe,GRC,2012,10963633.0,473.2982,F,Science
Europe,GRC,2015,10806644.0,459.41776,F,Science
Europe,GRC,2018,10633275.0,457.35983,F,Science
Europe,GRC,2022,10384972.0,445.94443,F,Science
Asia,HKG,2006,6960600.0,538.9082,F,Science
Asia,HKG,2009,7094600.0,547.67206,F,Science
Asia,HKG,2012,7234062.0,551.41876,F,Science
Asia,HKG,2015,7399845.0,523.7491,F,Science
Asia,HKG,2018,7481563.0,521.248,F,Science
Asia,HKG,2022,7488863.0,520.3875,F,Science
Europe,HUN,2006,10057063.0,500.55746,F,Science
Europe,HUN,2009,10008581.0,502.5865,F,Science
Europe,HUN,2012,9922133.0,492.80292,F,Science
Europe,HUN,2015,9844250.0,475.24838,F,Science
Europe,HUN,2018,9776361.0,477.87994,F,Science
Europe,HUN,2022,9967304.0,484.172,F,Science
Europe,ISL,2006,304086.0,493.90506,F,Science
Europe,ISL,2009,318809.0,494.71454,F,Science
Europe,ISL,2012,320988.0,479.6695,F,Science
Europe,ISL,2015,331068.0,474.6556,F,Science
Europe,ISL,2018,352951.0,479.22604,F,Science
Europe,ISL,2022,372903.0,453.69928,F,Science
Asia,IDN,2006,231797424.0,387.43585,F,Science
Asia,IDN,2009,240981296.0,386.93378,F,Science
Asia,IDN,2012,250222688.0,383.45932,F,Science
Asia,IDN,2015,259091968.0,405.12894,F,Science
Asia,IDN,2018,267066848.0,399.47684,F,Science
Asia,IDN,2022,275501344.0,385.34622,F,Science
Europe,IRL,2006,4234809.0,508.5253,F,Science
Europe,IRL,2009,4499797.0,509.3585,F,Science
Europe,IRL,2012,4564550.0,519.99994,F,Science
Europe,IRL,2015,4665764.0,497.17395,F,Science
Europe,IRL,2018,4834506.0,496.85138,F,Science
Europe,IRL,2022,5023108.0,500.95502,F,Science
Oceania,ISR,2006,6832082.0,452.18948,F,Science
Oceania,ISR,2009,7199704.0,456.21268,F,Science
Oceania,ISR,2012,7592099.0,470.41934,F,Science
Oceania,ISR,2015,8007777.0,464.44766,F,Science
Oceania,ISR,2018,8456487.0,471.33157,F,Science
Oceania,ISR,2022,9038313.0,464.9654,F,Science
Europe,ITA,2006,58429904.0,473.88605,F,Science
Europe,ITA,2009,59562844.0,489.82495,F,Science
Europe,ITA,2012,60190152.0,492.0868,F,Science
Europe,ITA,2015,60232908.0,472.11896,F,Science
Europe,ITA,2018,59877432.0,466.33148,F,Science
Europe,ITA,2022,59037472.0,474.2682,F,Science
Asia,JPN,2006,127902168.0,529.756,F,Science
Asia,JPN,2009,128117040.0,545.44745,F,Science
Asia,JPN,2012,127853688.0,540.9594,F,Science
Asia,JPN,2015,127250936.0,531.5329,F,Science
Asia,JPN,2018,126255872.0,527.77783,F,Science
Asia,JPN,2022,123951696.0,545.6919,F,Science
Asia,JOR,2006,6075550.0,436.27838,F,Science
Asia,JOR,2009,6780508.0,433.057,F,Science
Asia,JOR,2012,7211866.0,430.40134,F,Science
Asia,JOR,2015,9494250.0,427.9967,F,Science
Asia,JOR,2018,10459864.0,443.65967,F,Science
Asia,JOR,2022,11285875.0,390.39536,F,Science
Asia,KAZ,2009,16402365.0,404.7037,F,Science
Asia,KAZ,2012,17102868.0,428.97137,F,Science
Asia,KAZ,2015,17835908.0,457.8602,F,Science
Asia,KAZ,2018,18538100.0,400.90118,F,Science
Asia,KAZ,2022,19397998.0,425.88763,F,Science
Europe,LVA,2006,2203917.0,492.95798,F,Science
Europe,LVA,2009,2126268.0,497.23633,F,Science
Europe,LVA,2012,2053635.0,509.97314,F,Science
Europe,LVA,2015,1991951.0,495.57916,F,Science
Europe,LVA,2018,1935632.0,491.38232,F,Science
Europe,LVA,2022,1850654.0,493.15073,F,Science
Europe,LTU,2006,3322937.0,492.65466,F,Science
Europe,LTU,2009,3180482.0,500.124,F,Science
Europe,LTU,2012,3063340.0,503.2417,F,Science
Europe,LTU,2015,2963764.0,479.1618,F,Science
Europe,LTU,2018,2876128.0,485.1811,F,Science
Europe,LTU,2022,2750058.0,487.25998,F,Science
Europe,LUX,2006,472402.0,481.59595,F,Science
Europe,LUX,2009,497876.0,480.48315,F,Science
Europe,LUX,2012,530596.0,483.48422,F,Science
Europe,LUX,2015,569415.0,479.01312,F,Science
Europe,LUX,2018,607920.0,479.09317,F,Science
Asia,MAC,2006,501870.0,508.93048,F,Science
Asia,MAC,2009,543026.0,512.3234,F,Science
Asia,MAC,2012,582776.0,521.2428,F,Science
Asia,MAC,2015,615243.0,532.41565,F,Science
Asia,MAC,2018,650996.0,544.52203,F,Science
Asia,MAC,2022,695180.0,542.1262,F,Science
North America,MEX,2006,106886792.0,406.44955,F,Science
North America,MEX,2009,111049424.0,412.72498,F,Science
North America,MEX,2012,115755912.0,411.836,F,Science
North America,MEX,2015,120149896.0,411.5536,F,Science
North America,MEX,2018,124013864.0,414.70416,F,Science
North America,MEX,2022,127504120.0,403.53134,F,Science
Europe,MNE,2006,632551.0,412.80164,F,Science
Europe,MNE,2009,631187.0,407.74966,F,Science
Europe,MNE,2012,633053.0,418.51675,F,Science
Europe,MNE,2015,633969.0,413.81345,F,Science
Europe,MNE,2018,631459.0,417.51953,F,Science
Europe,MNE,2022,627082.0,407.11023,F,Science
Europe,NLD,2006,16325679.0,521.19696,F,Science
Europe,NLD,2009,16536200.0,520.26935,F,Science
Europe,NLD,2012,16785296.0,520.41504,F,Science
Europe,NLD,2015,17041110.0,506.5181,F,Science
Europe,NLD,2018,17286042.0,507.50504,F,Science
Europe,NLD,2022,17564020.0,487.09842,F,Science
Oceania,NZL,2006,4179986.0,532.1974,F,Science
Oceania,NZL,2009,4302884.0,535.1536,F,Science
Oceania,NZL,2012,4410285.0,513.2968,F,Science
Oceania,NZL,2015,4590591.0,510.72504,F,Science
Oceania,NZL,2018,4838528.0,507.6468,F,Science
Oceania,NZL,2022,5185289.0,504.43524,F,Science
Europe,NOR,2006,4661081.0,488.78748,F,Science
Europe,NOR,2009,4829195.0,501.70715,F,Science
Europe,NOR,2012,5019058.0,496.34634,F,Science
Europe,NOR,2015,5190357.0,497.00137,F,Science
Europe,NOR,2018,5312321.0,495.7973,F,Science
Europe,NOR,2022,5434324.0,485.15488,F,Science
South America,PER,2009,29009326.0,367.0732,F,Science
South America,PER,2012,29749592.0,370.25696,F,Science
South America,PER,2015,30711864.0,391.68097,F,Science
South America,PER,2018,32203946.0,397.44406,F,Science
South America,PER,2022,34049588.0,400.5929,F,Science
Europe,POL,2006,38547180.0,496.12906,F,Science
Europe,POL,2009,38555288.0,511.02274,F,Science
Europe,POL,2012,38625872.0,527.1486,F,Science
Europe,POL,2015,38553148.0,498.30322,F,Science
Europe,POL,2018,38521464.0,511.1722,F,Science
Europe,POL,2022,39857144.0,500.04663,F,Science
Europe,PRT,2006,10543946.0,471.86942,F,Science
Europe,PRT,2009,10591341.0,494.65558,F,Science
Europe,PRT,2012,10522085.0,490.22424,F,Science
Europe,PRT,2015,10365436.0,496.05524,F,Science
Europe,PRT,2018,10289833.0,489.0965,F,Science
Europe,PRT,2022,10270857.0,485.2358,F,Science
Asia,QAT,2006,1015064.0,365.32022,F,Science
Asia,QAT,2009,1610281.0,392.89938,F,Science
Asia,QAT,2012,1905670.0,401.5953,F,Science
Asia,QAT,2015,2414580.0,429.44788,F,Science
Asia,QAT,2018,2766743.0,439.05426,F,Science
Asia,QAT,2022,2695131.0,443.13794,F,Science
Europe,ROU,2006,20909406.0,419.47964,F,Science
Europe,ROU,2009,20466318.0,433.0544,F,Science
Europe,ROU,2012,20137112.0,441.2737,F,Science
Europe,ROU,2015,19906078.0,437.87747,F,Science
Europe,ROU,2018,19606778.0,426.05368,F,Science
Europe,ROU,2022,19659270.0,428.17157,F,Science
Europe,RUS,2006,143338672.0,478.1244,F,Science
Europe,RUS,2009,143163648.0,479.82098,F,Science
Europe,RUS,2012,143629360.0,489.05765,F,Science
Europe,RUS,2015,144668384.0,484.51428,F,Science
Europe,RUS,2018,145652288.0,478.0077,F,Science
Asia,SGP,2009,5010707.0,542.2656,F,Science
Asia,SGP,2012,5381003.0,551.80536,F,Science
Asia,SGP,2015,5650020.0,552.273,F,Science
Asia,SGP,2018,5814543.0,549.1486,F,Science
Asia,SGP,2022,5975689.0,557.9139,F,Science
Europe,SVK,2006,5377239.0,485.23056,F,Science
Europe,SVK,2009,5388934.0,490.54797,F,Science
Europe,SVK,2012,5409283.0,467.38522,F,Science
Europe,SVK,2015,5424449.0,461.21527,F,Science
Europe,SVK,2018,5446746.0,466.8386,F,Science
Europe,SVK,2022,5643455.0,465.72894,F,Science
Europe,SVN,2006,2013577.0,522.6966,F,Science
Europe,SVN,2009,2045578.0,518.8274,F,Science
Europe,SVN,2012,2069365.0,518.7174,F,Science
Europe,SVN,2015,2080865.0,515.77356,F,Science
Europe,SVN,2018,2105931.0,511.99905,F,Science
Europe,SVN,2022,2119843.0,507.71738,F,Science
Asia,KOR,2006,48049348.0,523.09314,F,Science
Asia,KOR,2009,48588024.0,539.2614,F,Science
Asia,KOR,2012,49634188.0,535.92957,F,Science
Asia,KOR,2015,50994396.0,520.83295,F,Science
Asia,KOR,2018,51676900.0,516.88837,F,Science
Asia,KOR,2022,51815808.0,529.58527,F,Science
Europe,ESP,2006,44422824.0,486.22183,F,Science
Europe,ESP,2009,46367772.0,484.59515,F,Science
Europe,ESP,2012,46756084.0,492.65833,F,Science
Europe,ESP,2015,46431344.0,489.45605,F,Science
Europe,ESP,2018,46792044.0,482.03378,F,Science
Europe,ESP,2022,47558632.0,481.90002,F,Science
Europe,SWE,2006,9104724.0,502.68018,F,Science
Europe,SWE,2009,9301413.0,496.95193,F,Science
Europe,SWE,2012,9555984.0,488.51273,F,Science
Europe,SWE,2015,9849344.0,495.71832,F,Science
Europe,SWE,2018,10162300.0,503.24686,F,Science
Europe,SWE,2022,10549349.0,497.79532,F,Science
Europe,CHE,2006,7475014.0,508.6576,F,Science
Europe,CHE,2009,7734402.0,512.4926,F,Science
Europe,CHE,2012,7995738.0,512.3305,F,Science
Europe,CHE,2015,8281735.0,502.30594,F,Science
Europe,CHE,2018,8514431.0,495.45233,F,Science
Europe,CHE,2022,8740471.0,502.36905,F,Science
Asia,TWN,2006,22874972.0,528.723,F,Science
Asia,TWN,2009,23044086.0,520.90845,F,Science
Asia,TWN,2012,23234064.0,522.8466,F,Science
Asia,TWN,2015,23512136.0,530.08203,F,Science
Asia,TWN,2018,23726186.0,515.1715,F,Science
Asia,TWN,2022,23893396.0,535.64667,F,Science
Asia,THA,2006,66319528.0,428.1241,F,Science
Asia,THA,2009,67813656.0,430.95078,F,Science
Asia,THA,2012,69157024.0,452.4915,F,Science
Asia,THA,2015,70294408.0,425.2518,F,Science
Asia,THA,2018,71127808.0,435.15158,F,Science
Asia,THA,2022,71697024.0,414.31458,F,Science
Asia,TUR,2006,69601328.0,430.35767,F,Science
Asia,TUR,2009,72225648.0,460.17596,F,Science
Asia,TUR,2012,75277440.0,468.62216,F,Science
Asia,TUR,2015,79646176.0,428.6548,F,Science
Asia,TUR,2018,82809304.0,472.0351,F,Science
Asia,TUR,2022,85341248.0,478.43112,F,Science
Europe,GBR,2006,60803700.0,509.78882,F,Science
Europe,GBR,2009,62243384.0,509.07526,F,Science
Europe,GBR,2012,63808728.0,507.88345,F,Science
Europe,GBR,2015,65224368.0,508.8409,F,Science
Europe,GBR,2018,66432996.0,503.47278,F,Science
Europe,GBR,2022,67508936.0,495.54343,F,Science
North America,USA,2006,299753088.0,488.63336,F,Science
North America,USA,2009,308512032.0,494.95203,F,Science
North America,USA,2012,316651328.0,498.32538,F,Science
North America,USA,2015,324607776.0,492.86508,F,Science
North America,USA,2018,332140032.0,502.00183,F,Science
North America,USA,2022,338289856.0,495.83276,F,Science
South America,URY,2006,3322282.0,429.6017,F,Science
South America,URY,2009,3344161.0,427.75308,F,Science
South America,URY,2012,3371134.0,416.34738,F,Science
South America,URY,2015,3402820.0,431.30768,F,Science
South America,URY,2018,3427044.0,424.2106,F,Science
South America,URY,2022,3422796.0,431.07162,F,Science
Europe,ALB,2009,2930553.0,376.52213,M,Science
Europe,ALB,2012,2892191.0,393.90643,M,Science
Europe,ALB,2015,2882482.0,414.95764,M,Science
Europe,ALB,2018,2877019.0,408.7282,M,Science
Europe,ALB,2022,2842318.0,362.2758,M,Science
South America,ARG,2006,39476856.0,384.45697,M,Science
South America,ARG,2009,40684344.0,396.66736,M,Science
South America,ARG,2012,41952364.0,402.1828,M,Science
South America,ARG,2015,43257064.0,440.10202,M,Science
South America,ARG,2018,44413592.0,409.05197,M,Science
South America,ARG,2022,45510324.0,409.16632,M,Science
Oceania,AUS,2006,20467032.0,526.903,M,Science
Oceania,AUS,2009,21660898.0,526.79895,M,Science
Oceania,AUS,2012,22729272.0,523.7282,M,Science
Oceania,AUS,2015,23820240.0,511.04926,M,Science
Oceania,AUS,2018,24979228.0,503.73477,M,Science
Oceania,AUS,2022,26177410.0,508.1308,M,Science
Europe,AUT,2006,8267771.0,514.53156,M,Science
Europe,AUT,2009,8342939.0,498.3399,M,Science
Europe,AUT,2012,8429641.0,510.1083,M,Science
Europe,AUT,2015,8642422.0,504.3712,M,Science
Europe,AUT,2018,8840518.0,490.89783,M,Science
Europe,AUT,2022,8939617.0,496.8304,M,Science
Europe,BEL,2006,10582970.0,510.71967,M,Science
Europe,BEL,2009,10801357.0,509.72635,M,Science
Europe,BEL,2012,11031140.0,506.8204,M,Science
Europe,BEL,2015,11248306.0,507.7805,M,Science
Europe,BEL,2018,11448598.0,501.19086,M,Science
Europe,BEL,2022,11655923.0,490.62857,M,Science
South America,BRA,2006,188820688.0,395.14978,M,Science
South America,BRA,2009,194517552.0,407.16547,M,Science
South America,BRA,2012,199977712.0,401.86404,M,Science
South America,BRA,2015,205188208.0,402.78305,M,Science
South America,BRA,2018,210166592.0,402.85226,M,Science
South America,BRA,2022,215313504.0,405.6286,M,Science
Asia,BGR,2006,7766040.0,425.8744,M,Science
Asia,BGR,2009,7634737.0,429.7279,M,Science
Asia,BGR,2012,7488347.0,436.71854,M,Science
Asia,BGR,2015,7309255.0,438.49664,M,Science
Asia,BGR,2018,7117424.0,416.9196,M,Science
Asia,BGR,2022,6781955.0,413.37012,M,Science
North America,CAN,2006,32531864.0,536.49585,M,Science
North America,CAN,2009,33593920.0,531.0118,M,Science
North America,CAN,2012,34691876.0,526.85077,M,Science
North America,CAN,2015,35732120.0,528.25476,M,Science
North America,CAN,2018,37035260.0,516.46045,M,Science
North America,CAN,2022,38454328.0,515.30725,M,Science
South America,CHL,2006,16334573.0,448.1313,M,Science
South America,CHL,2009,16833450.0,451.87833,M,Science
South America,CHL,2012,17341770.0,448.44107,M,Science
South America,CHL,2015,17870122.0,454.21863,M,Science
South America,CHL,2018,18701452.0,445.30957,M,Science
